3 -0.240252961012975
2.9375 -0.24372111983387
2.875 -0.247282870991121
2.8125 -0.250941744961422
2.75 -0.254700811603642
2.6875 -0.258563783038187
2.625 -0.262534311296055
2.5625 -0.266616150048399
2.5 -0.270813182733579
2.4375 -0.275129284101466
2.375 -0.279568486676652
2.3125 -0.284134852157753
2.25 -0.288832476370772
2.1875 -0.293665472750749
2.125 -0.298637901447631
2.0625 -0.30375377820231
2 -0.309016994191677
1.9375 -0.314431251885644
1.875 -0.319999999467457
1.8125 -0.325726331879264
1.75 -0.33161287727107
1.6875 -0.337661665639602
1.625 -0.343873965510716
1.5625 -0.350250090372631
1.5 -0.356789172300646
1.4375 -0.363488890746948
1.375 -0.370345157585002
1.3125 -0.377351748379881
1.25 -0.38449987798672
1.1875 -0.391777715082971
1.125 -0.399169834937753
1.0625 -0.406656612307246
1 -0.414213562372582
0.9375 -0.421810645294446
0.875 -0.429411561261975
0.8125 -0.436973077215092
0.75 -0.444444444444193
0.6875 -0.451766986968196
0.625 -0.458873962258062
0.5625 -0.465690814950221
0.5 -0.472135954999553
0.4375 -0.478122186636042
0.375 -0.483558884726678
0.3125 -0.488354953113721
0.25 -0.492422502470636
0.1875 -0.495681059732808
0.125 -0.498061986388365
0.0625 -0.499512670102249
0.03 -0.499887550596457
