r R_0 R_1 R_2
10.1 7.08516216291155E-07 0.0344479905534608 0.0610866119432519
10.2 5.91822722087671E-07 0.0325814970053224 0.0637543540742312
10.3 4.94253959847484E-07 0.0308010425855525 0.0663681402483673
10.4 4.12692577021089E-07 0.0291039379026856 0.0689216330435053
10.5 3.44526958636636E-07 0.0274874593000846 0.0714089393946211
10.6 2.87568641011783E-07 0.0259488645089866 0.0738246130970564
10.7 2.39985057206657E-07 0.0244854049823148 0.076163652965361
10.8 2.0023910156212E-07 0.0230943383563495 0.0784215010196193
10.9 1.67047290209249E-07 0.0217729385080374 0.080594037617858
11 1.39334591406715E-07 0.0205185058725893 0.0826775744402704
11.1 1.16200286779275E-07 0.019328374500505 0.0846688474996302
11.2 9.68905602004061E-08 0.0181999198934428 0.0865650073536601
11.3 8.07767025830592E-08 0.0171305651402257 0.0883636074863551
11.4 6.73325562562448E-08 0.0161177861064413 0.0900625937435708
11.5 5.61169306944387E-08 0.0151591164661121 0.0916602908434435
11.6 4.67622353541382E-08 0.0142521508601141 0.0931553888047038
11.7 3.89616401216974E-08 0.0133945483442582 0.0945469289519942
11.8 3.24579638585726E-08 0.0125840349070556 0.0958342886472738
11.9 2.70357425295908E-08 0.0118184051521881 0.0970171655935339
12 2.25160377852444E-08 0.011095524157207 0.0980955630857016
12.1 1.87494630752007E-08 0.0104133278153341 0.0990697731224594
12.2 1.56108884118378E-08 0.00976982384562169 0.0999403609150617
12.3 1.29958274921594E-08 0.0091630916970575 0.100708147969246
12.4 1.08174274884165E-08 0.00859128230715022 0.101374196771988
12.5 9.00303342047849E-09 0.00805261817324788 0.101939793627975
12.6 7.49192937468525E-09 0.00754539192327766 0.102406433746485
12.7 6.23359223283627E-09 0.00706796570745835 0.102775804456148
12.8 5.18597460177172E-09 0.00661877018094668 0.103049770600175
12.9 4.3140766993643E-09 0.00619630294425833 0.103230358340864
13 3.58823928347788E-09 0.00579912721038841 0.103319741677241
13.1 2.98420477331633E-09 0.00542587026724169 0.103320226728549
13.2 2.48142164537076E-09 0.00507522173578397 0.103234238182959
13.3 2.06321769497873E-09 0.00474593183436834 0.103064306377752
13.4 1.71520210888661E-09 0.004436809735912 0.102813053019514
13.5 1.42579155766736E-09 0.00414672140228697 0.102483179710252
13.6 1.18510130455386E-09 0.00387458812574381 0.10207745514037
13.7 9.84946209290074E-10 0.00361938402347056 0.101598703836316
13.8 8.18485974314159E-10 0.00338013477261166 0.101049794765045
13.9 6.80074828065293E-10 0.00315591530719189 0.100433631960919
14 5.65054338608651E-10 0.00294584791646404 0.0997531428196886
14.1 4.69403263786881E-10 0.00274910056577492 0.0990112704092936
14.2 3.8993823070317E-10 0.00256488486718391 0.098210963606065
14.3 3.23859837804972E-10 0.00239245425386773 0.0973551690041773
14.4 2.68951201174676E-10 0.00223110233169579 0.0964468232737562
14.5 2.23298048089622E-10 0.00208016078617424 0.0954888458880224
14.6 1.85412841625788E-10 0.00193899814011008 0.0944841321995752
14.7 1.53948349446496E-10 0.00180701748973028 0.0934355468038595
14.8 1.27820093940043E-10 0.00168365547653633 0.0923459190248284
14.9 1.06113567437953E-10 0.0015683802841675 0.0912180357449856
15 8.80892622494715E-11 0.00146069031148212 0.0900546383913913
15.1 7.31157022207318E-11 0.00136011262206304 0.0888584172678524
15.2 6.06840426383589E-11 0.0012662015141544 0.0876320082970626
15.3 5.03624608508161E-11 0.00117853716683239 0.0863779886182232
15.4 4.17918595807004E-11 0.00109672432545358 0.0850988745801194
15.5 3.46737837656811E-11 0.00102039101365304 0.0837971181742239
15.6 2.87611180220932E-11 0.000949187218833783 0.0824751043945683
15.7 2.38530362716781E-11 0.000882783946778506 0.081135150015435
15.8 1.9783570703683E-11 0.000820871865584544 0.0797795007191853
15.9 1.64126942791828E-11 0.000763160445113248 0.0784103304125986
16 1.3616734076899E-11 0.000709376734162688 0.0770297401348723
16.1 1.12907597535126E-11 0.000659264507409202 0.0756397569096559
16.2 9.36531135200274E-12 0.0006125833147288 0.0742423325288982
16.3 7.76429772705112E-12 0.000569107587849243 0.0728393445672598
16.4 6.43749420047414E-12 0.00052862578570855 0.0714325947179092
16.5 5.33515215591514E-12 0.000490939525903904 0.0700238102622668
16.6 4.42613147743126E-12 0.000455862992964499 0.0686146432213832
16.7 3.66908093168215E-12 0.000423222030377655 0.067206671523631
16.8 3.03895083523176E-12 0.000392853614633227 0.0658013985565383
16.9 2.51756721321057E-12 0.000364605050088738 0.0644002555151727
17 2.08512208769764E-12 0.000338333448981451 0.0630046009129714
17.1 1.7278002268363E-12 0.00031390507920802 0.0616157228118131
17.2 1.43086841715387E-12 0.00029119494808936 0.0602348385780898
17.3 1.1857320788303E-12 0.000270086078799661 0.0588630976435843
17.4 9.80665858184489E-13 0.00025046916471918 0.0575015814740871
17.5 8.11704935237665E-13 0.000232242014349324 0.0561513063509825
17.6 6.72094216856418E-13 0.000215309186845762 0.0548132239858416
17.7 5.57233964632727E-13 0.000199581549410017 0.0534882232910571
17.8 4.6264545530393E-13 0.000184975842748469 0.0521771319455653
17.9 3.83663767293972E-13 0.000171414330798911 0.0508807183530308
18 3.17596637268648E-13 0.000158824502897701 0.0495996932619226
18.1 2.62364313677877E-13 0.000147138665030034 0.0483347113906444
18.2 2.17573564070748E-13 0.000136293704863445 0.0470863735814435
18.3 1.79899240016418E-13 0.000126230736466849 0.0458552279042006
18.4 1.48972802546394E-13 0.000116894864000182 0.0446417722547594
18.5 1.2314933359315E-13 0.000108234901991449 0.0434464557612476
18.6 1.01901019969584E-13 0.000100203182686854 0.0422696806149268
18.7 8.39325987888694E-14 9.27552691121194E-05 0.0411118040657533
18.8 6.96570503183172E-14 8.58497711232743E-05 0.0399731398053447
18.9 5.78812600656572E-14 7.94481442987003E-05 0.0388539603115572
19 4.79795308899619E-14 7.35145101752635E-05 0.0377544982949672
19.1 3.98564327975483E-14 6.801544352296E-05 0.0366749485087315
19.2 3.31133768817716E-14 6.29198740173551E-05 0.0356154695765237
19.3 2.73953436293015E-14 5.81988518438051E-05 0.0345761855910572
19.4 2.24999529946697E-14 5.382547042722E-05 0.0335571877067967
19.5 1.87605320119203E-14 4.97746867565792E-05 0.0325585362228299
19.6 1.55984928854325E-14 4.60232294018778E-05 0.0315802614760183
19.7 1.28670119190513E-14 4.25494432601565E-05 0.0306223661248617
19.8 1.04828811312576E-14 3.93332177205937E-05 0.0296848262287949
19.9 8.53692743034655E-15 3.63558426467228E-05 0.0287675930128469
20 6.97240884358262E-15 3.35999459579333E-05 0.0278705940530751
20.1 5.73991608480094E-15 3.1049382596279E-05 0.0269937350549989
20.2 4.72306355411907E-15 2.86891553291351E-05 0.0261369009222773
20.3 3.95574688735082E-15 2.65053367362752E-05 0.0252999571692526
20.4 3.31857802438025E-15 2.44849953625297E-05 0.0244827514991768
20.5 2.78756922877745E-15 2.26161212514655E-05 0.0236851144549363
20.6 2.27999960028031E-15 2.08875745119636E-05 0.0229068612772671
20.7 1.95011317416994E-15 1.92890079760784E-05 0.0221477925939383
20.8 1.64078292214293E-15 1.78108300972969E-05 0.0214076958958947
20.9 1.32394876672263E-15 1.64441301851169E-05 0.0206863463094188
21 1.02804911757125E-15 1.51806563593298E-05 0.0199835078514319
21.1 8.35806203179147E-16 1.40127417817458E-05 0.0192989344015675
21.2 6.63905541460917E-16 1.29332867919962E-05 0.0186323704418531
21.3 5.20179964273551E-16 1.19357021965746E-05 0.0179835523463704
21.4 4.4555225578525E-16 1.10138806556288E-05 0.0173522089299653
21.5 4.16207476712123E-16 1.01621617146825E-05 0.0167380624302328
21.6 3.65365644398846E-16 9.37530248094523E-06 0.0161408294229781
21.7 2.95575661069073E-16 8.64844263843042E-06 0.0155602212179326
21.8 2.50024482810769E-16 7.9770795223604E-06 0.0149959450787422
21.9 1.98035031481056E-16 7.35704263393168E-06 0.0144477043034174
22 1.70991161315401E-16 6.78446570434606E-06 0.0139151996359101
22.1 1.30059689614658E-16 6.25577423223657E-06 0.0133981291338597
22.2 1.10395364402829E-16 5.76765505521792E-06 0.0128961892222555
22.3 6.86254198404811E-17 5.31703761502747E-06 0.0124090750825665
22.4 6.18980470396317E-17 4.90108523965932E-06 0.0119364810902615
22.5 4.50614004828375E-17 4.51716833286963E-06 0.0114781016224247
22.6 4.28892234164262E-17 4.16285561545392E-06 0.0110336311201162
22.7 3.44966853619897E-17 3.83589490013742E-06 0.0106027649331243
22.8 2.99618017430592E-17 3.53420654839749E-06 0.0101851992021715
22.9 1.7907302435831E-17 3.25586134535691E-06 0.0097806318762186
23 9.6520664838252E-18 2.999078791043E-06 0.009388762516142
23.1 7.72486583112114E-18 2.7622110362275E-06 0.00900929295439947
23.2 6.38581878586809E-18 2.54373325718219E-06 0.00864192744364866
23.3 8.49594000117994E-18 2.34223722512328E-06 0.00828637297232574
23.4 9.24422980649076E-18 2.15641907958226E-06 0.00794233959873938
23.5 9.14536810148929E-18 1.98507659342244E-06 0.0076095405569353
23.6 6.85616297009994E-18 1.82709451659705E-06 0.00728769260620224
23.7 6.35982594376478E-18 1.68144554883422E-06 0.00697651614201542
23.8 2.91113820508966E-18 1.54717623959742E-06 0.00667573546052557
23.9 2.37977613471301E-18 1.4234119963468E-06 0.00638507891387833
24 2.60824786064724E-18 1.3093390323659E-06 0.00610427898654772
24.1 3.34220932293478E-18 1.20420844608309E-06 0.00583307247545255
24.2 2.85747638574402E-19 1.10732674636851E-06 0.00557120064811588
24.3 1.40998041088358E-18 1.01805437994857E-06 0.00531840931763629
24.4 6.184042551611E-18 9.3580137123116E-07 0.00507444897682703
24.5 1.19383570741242E-17 8.60021649004167E-07 0.00483907481255616
24.6 8.79563136224597E-18 7.90212629111236E-07 0.00461204679006849
24.7 8.98779524635081E-18 7.25907698347675E-07 0.00439312971764352
24.8 7.24859520365322E-18 6.66679249828222E-07 0.00418209340178841
